,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
2013,2,0.19,2.52,-0.16,-0.61,0.1,2.82,-0.69,2.89,-0.26,-0.42,-1.62,-0.33,0.65
2013,3,-0.64,0.91,2.4,-0.8,3.33,1.77,0.26,-0.14,2.43,0.58,-0.29,1.61,2.65
2013,4,2.27,1.99,-0.19,1.09,1.17,1.08,0.5,1.78,-0.62,0.95,0.52,0.82,1.42
2014,1,0.05,1.77,0.64,-0.76,0.48,0.73,0.54,1.58,0.25,-1.7,-1.4,-1.21,-0.35
2014,2,-1.24,2.81,1.47,1.21,0.19,1.23,0.36,4.26,0.54,-1.16,0.03,0.17,1.22
2014,3,1.67,3.45,0.92,-0.07,0.9,3.16,1.29,2.53,-0.02,1.18,0.54,1.78,4.19
2014,4,-0.8,3.78,-1.21,0.62,1.02,1.01,0.32,4.61,0.68,0.05,-0.12,0.07,1.09
2015,1,-0.42,2.63,-0.31,0.13,1.69,-0.91,0.2,3.1,-0.3,-0.39,-0.21,-0.66,0.53
2015,2,-0.18,1.5,-1.32,-0.61,-0.55,0.1,-1.4,5.55,-0.36,3.48,0.23,0.66,1.5
2015,3,-0.26,0.99,0.84,-1.06,-0.53,-0.11,-0.26,2.22,0.28,0.66,0.8,1.19,2.14
2015,4,3.43,5.3,1.64,0.27,2.82,0.71,0.91,7.86,1.79,1.11,-0.42,1.95,3.36
2016,1,-0.9,3.66,0.83,0.68,0.43,3.48,-0.9,3.6,1.72,2.01,-0.22,1.97,3.7
2016,2,2,4.56,-1.63,0.3,0.54,1.17,2.74,5.84,0.33,4.57,0.48,1.99,3.51
2016,3,0.64,1.13,-0.02,-1.44,0.11,1.12,0.54,0.47,0.54,1.21,-0.68,1.28,2.41
