,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
1973,1,-0.09,0.26,1.01,-0.64,0.31,-0.17,0.46,0.46,0.31,0,0.45,0.51,0.59
1973,2,-0.55,0.5,1.38,-1.26,-0.08,1.28,0.37,-1.14,1.7,0.83,0.12,1.7,1.58
1973,3,-0.41,1.46,1.3,-1.63,1.64,1.52,1.49,-0.92,-0.24,0.65,-1.13,-0.05,0.96
1973,4,-1.56,-0.36,0.66,1.52,-1.91,0.28,0.85,-1.43,0.31,2.3,-0.45,1.57,1.33
1974,1,-1.74,1.5,1.33,1.24,0.64,0.97,1.82,1.02,0.78,-0.93,-0.5,0.06,0.75
1974,2,-1.67,1.13,0.41,1.48,-0.12,1.08,1.49,-0.01,-0.39,-0.33,-0.21,-0.33,0.06
1974,3,-0.82,-0.68,-0.31,-0.95,-1.52,0.31,-0.25,-1.1,1.6,-0.39,-0.62,0.01,-0.49
1974,4,1.18,-1.72,-0.34,-1.35,-0.31,-0.7,-1.51,-0.3,-0.49,1.76,0.31,0.61,0.07
1975,1,-0.11,-0.44,0.16,-0.06,-1.84,0.37,-0.13,-0.47,0.41,0.54,-0.48,0.19,-0.06
1975,2,-0.45,0.7,-0.27,0.27,1.23,0.5,1.78,-1.64,1.4,0.58,0.49,1.21,1.23
1975,3,-0.49,0.48,0.85,0.91,-1.57,0.11,0.89,0.25,0.44,1.14,-0.53,0.91,1.36
1975,4,-0.66,-0.29,2.5,0.08,-0.25,-0.89,0.42,0.22,0.41,-1.14,-0.9,-0.57,-0.61
1976,1,-0.36,1.17,1.13,0.57,0.85,0.95,1.06,0.76,-1.2,-1.51,-1.02,-1.28,-0.66
1976,2,-0.09,0.68,-0.16,-0.89,0.77,1.56,-1.45,0.35,0.26,0.39,-0.2,0.14,0.32
1976,3,-1.77,1.01,0.51,1.09,0.24,-1.11,1.3,1.26,-0.39,-0.64,-0.84,-1.41,-0.89
1976,4,0.8,-3.21,-0.46,-1.98,1.06,-2.11,-2.16,-1.41,-0.14,-0.62,-0.28,-1.37,-2.18
1977,1,1.23,-0.17,-0.73,-2.58,0.5,0.45,-0.61,-0.44,-1.21,-1.07,-1.38,-2.43,-2.32
1977,2,1.51,0.43,0.32,-0.81,-0.45,-0.31,1.4,0.3,-0.02,1.92,-0.46,0.74,0.75
1977,3,-1.54,-0.46,-0.27,0.83,0.09,0.16,-0.25,-0.57,-0.66,-0.85,0.53,-0.43,-0.8
