,,t10 ALA,t10 CAN,t10 CEA,t10 CWP,t10 NEA,t10 NEF,t10 NPL,t10 NWP,t10 SEA,t10 SPL,t10 SWP,t10 USA,t10 USC
1973,2,-0.34,-1.12,-0.65,-0.82,-0.75,-1.23,-1.04,-0.8,0.23,0.16,0.13,-0.24,-0.83
1973,3,1.26,-0.87,-1.8,0.6,-1.49,-1.46,-0.42,1.69,-1.18,0.25,1.4,0.18,-0.6
1973,4,0.12,-0.28,-0.8,0.47,-0.57,-0.68,0.45,1.27,-1.31,-0.62,0.44,-0.47,-0.41
1974,1,-0.01,-0.55,-1.19,0.05,-0.36,-0.64,-0.3,-0.41,-0.96,-0.31,0.14,-0.48,-0.56
1974,2,-0.36,1.25,0.46,0.38,1.65,1.13,0.88,0.42,-1.37,-0.79,-0.75,-0.89,0.4
1974,3,0.5,0.26,-0.47,0.01,0.18,-1.16,0.05,1.57,1.25,0.95,0.15,1.05,0.6
1974,4,0.31,0.85,1.88,-0.89,0.92,1.49,0.11,-0.4,0.99,0.59,-0.53,0.58,0.83
1975,1,0.94,-0.19,-1.68,-0.13,0.11,-1.46,-0.6,0.34,-1.51,-0.85,0.02,-0.76,-0.49
1975,2,0.29,0.25,0.26,2.64,-0.05,0.19,1.14,0.94,-0.22,1.7,2.6,1.91,1.04
1975,3,0.65,-0.81,-1.14,1.29,-1.24,-1.42,-0.14,1.32,-0.77,0.29,1.69,0.58,-0.4
1975,4,2.15,-0.45,-0.64,0.17,-0.87,-0.74,-0.68,-0.03,0.17,0.62,0.78,1.05,0.21
1976,1,1.32,-0.26,-0.47,-0.94,0.15,-0.57,-0.64,-0.1,-0.95,-1.2,-1.09,-0.91,-0.61
1976,2,0.03,-0.6,-0.11,0.65,-0.2,-0.47,-0.69,0.11,-0.05,-0.18,-0.07,-0.11,-0.43
1976,3,-0.27,0.4,0.82,2.13,0.85,0.24,-0.03,1.12,1.87,1.24,1.5,1.92,1.05
1976,4,-0.55,0.22,2.66,-0.48,0.69,2.31,0.14,-0.85,3.54,2.53,0.4,2.4,1.29
1977,1,-1.57,-0.55,1.89,-0.82,0.38,1.55,-0.89,-1.4,2.16,-0.19,-0.82,0.11,-0.26
1977,2,0.45,-1.45,-1.28,0.21,-0.56,-1.53,-1.36,-0.72,-2,-1.84,0.42,-1.09,-1.43
1977,3,-1.4,-0.07,0.73,-0.81,0.05,0.27,0.95,-0.53,-0.74,-1.35,-1.75,-1.97,-0.81
1977,4,-0.64,-0.68,-0.7,0.12,-0.38,-0.56,-0.32,-0.03,-0.34,-0.87,-1.04,-1,-0.91
1978,1,-0.36,-0.27,0.76,-0.87,-0.81,0.04,0.06,-0.22,2.44,1.43,-0.6,1,0.35
1978,2,-1.05,-0.49,0.73,-0.91,0.17,0.03,-0.8,-0.91,1.12,-0.18,-0.77,-0.55,-0.57
1978,3,-0.35,2.14,-0.2,-0.16,0.26,0.88,1.17,-0.54,-1.18,-0.29,-0.35,-0.81,1.34
1978,4,-1.5,1.17,0.61,1.1,2.58,1.22,-0.06,-0.18,-1.3,-0.48,0.09,-0.79,0.38
1979,1,0.03,2.32,1.29,2.41,1.18,2.2,2.15,1.66,1.14,2.88,2.57,2.75,2.71
1979,2,-0.96,0.12,-1.23,-1.13,-1.47,-0.51,1.04,-0.55,-0.51,0.32,-0.53,-0.63,-0.22
1979,3,-0.57,0.41,1.32,-0.92,-0.14,0.36,-0.44,-1.2,0.87,0.32,1.24,0.8,0.62
1979,4,-1.71,-0.72,-0.41,-0.65,-0.68,-0.23,-1.01,-1.37,-0.56,-0.45,-0.35,-1.03,-0.95
1980,1,-0.07,-1.09,-1.03,-0.32,-1.36,-1.42,-0.66,-0.23,-0.11,-0.47,-1.29,-0.8,-1.02
1980,2,-1.14,-1.24,-0.67,-0.7,-0.83,-0.96,-0.94,-1.09,-0.18,-0.27,0.38,-0.68,-1.11
1980,3,0.09,-0.34,-0.15,0.47,0.09,-0.37,-0.01,-0.13,-1.23,-1.8,-0.99,-1.68,-0.91
1980,4,-0.54,-0.37,0.29,-0.71,0.17,0.48,-0.87,-0.98,-0.05,-0.29,-0.3,-0.44,-0.45
1981,1,0.22,-0.44,1.06,-0.93,0.63,0.45,-0.66,-0.23,0,-1.12,-1.71,-0.89,-0.7
1981,2,-1.16,-1.13,-0.48,-1.42,-0.85,-0.42,-1.09,-1,-0.49,-1.39,-1.48,-1.91,-1.6
1981,3,1.17,-0.84,-0.9,-0.13,-0.52,-0.72,-0.69,-0.13,-0.73,-0.52,-1.3,-0.7,-0.92
1981,4,-0.61,-1.17,0.02,-0.55,-1.06,-0.4,-0.64,-0.79,0.19,-0.69,-0.87,-0.76,-1.12
1982,1,-0.17,0.59,0.13,0.24,-0.07,0.16,1.04,0.8,0.32,0.52,-0.26,0.28,0.48
1982,2,0.02,0.74,0.55,1.27,1.11,1.09,0.88,0.86,-0.06,0.68,-0.05,0.5,0.7
1982,3,-0.35,0.74,0.94,0.36,0.8,1.13,0.93,-0.23,-1.05,-0.37,0.34,-0.12,0.52
1982,4,0.48,0.23,-0.69,0.56,-0.15,-0.35,0.06,0.05,0.12,0.27,0.87,0.58,0.42
1983,1,-0.9,-1.42,-1.52,-1.31,-0.98,-1.78,-1.68,-1.36,-1.67,-1.73,-1.43,-2.16,-1.9
1983,2,-1.04,0.56,0.63,-0.4,-0.56,0.84,0.39,-1.16,2.71,2,1.36,1.36,0.98
1983,3,-0.38,-1.07,-1.27,0.7,-0.38,-0.97,-1.06,-0.95,-0.84,-0.51,0.32,-0.96,-1.19
1983,4,0.51,-0.88,-1.16,-0.55,-1.02,-1.25,-0.61,-0.02,-0.69,-0.96,-1.02,-1.01,-1.05
1984,1,-0.31,0.32,0.07,1.04,-0.04,0.57,0.43,0.02,0.74,1.8,0.72,1.21,0.8
1984,2,0.01,-0.33,1.41,-0.52,0.24,0.63,-0.1,-0.74,1.24,0.21,-0.72,0.28,-0.08
1984,3,0.16,-1.05,-0.98,-0.33,-0.62,-1.19,-1.16,0.1,0.19,-1.4,-1.01,-1.25,-1.29
1984,4,-1.2,1.09,0.58,1,-0.13,0.11,1.76,1.28,0.72,0.99,0.53,0.62,1
1985,1,-0.56,0.52,-0.96,1.38,-0.79,-0.7,1.05,0.58,0.22,0.63,0.72,0.37,0.48
1985,2,1.21,-0.54,-1.26,0.05,1.1,-0.72,-1.32,0.04,-1.96,-1.98,-1.03,-1.22,-0.91
1985,3,0.01,0.83,0.08,-0.12,-0.89,0,1.97,0.84,0.61,1.45,-0.33,1.01,1.03
1985,4,1.96,1.89,-0.98,3.25,0.01,0.01,3.28,3.22,-0.78,2.35,2.21,2.44,2.38
1986,1,-1.07,-0.6,-0.43,0.49,-0.9,-0.21,-0.03,-0.09,0.26,0.3,-0.39,-0.07,-0.37
1986,2,0.54,-0.6,-0.62,-0.81,-0.31,-0.87,-0.56,0.06,0.22,-1.05,-1.38,-0.78,-0.74
1986,3,0.14,0.94,1.12,-0.57,1.91,1.03,-0.16,0.04,-1.05,-1.23,-0.41,-1.01,0.34
1986,4,-0.66,1.92,0.5,0.23,2.09,1.88,1.18,0.12,-0.89,0.6,1.09,0.37,1.41
1987,1,-1.44,-1.59,-0.99,-0.67,-0.78,-1.43,-1.65,-1.35,-1.33,-1.39,-0.44,-1.7,-1.76
1987,2,-0.77,-0.92,-1.26,-1.45,-0.66,-1.33,-1.23,-1.03,-0.59,-0.63,-0.44,-1.3,-1.18
1987,3,-1.08,-0.14,-0.47,0.72,-0.67,-0.47,0.29,-0.3,-1.48,0.43,1.18,-0.48,-0.3
1987,4,-0.62,-1.42,0.33,-1.07,-0.32,-0.39,-1.12,-1.24,0.55,-0.88,-1.34,-0.96,-1.37
1988,1,-1.24,-1.37,-0.68,-0.69,-0.97,-0.91,-0.87,-1.11,-0.33,-0.41,-0.17,-0.8,-1.18
1988,2,-0.89,-1.54,-0.81,-0.66,-1.13,-1.12,-1,-1.23,0.29,-0.08,-0.01,-0.61,-1.27
1988,3,-1.33,-1.14,0.15,-0.65,0.08,-0.69,-1.31,-0.44,0.18,-1.19,-0.83,-1.56,-1.48
1988,4,0.08,-0.75,0.19,-0.94,-0.55,-0.39,-0.63,-0.67,0.43,-0.9,-0.96,-0.58,-0.76
1989,1,0.86,0.02,-0.58,1.46,0.23,-0.27,0.26,0.36,-0.67,0.17,1.18,0.48,0.26
1989,2,-0.58,0.5,-0.08,-0.34,-0.31,0.45,0.88,-0.14,0.76,0.56,-0.97,-0.08,0.28
1989,3,-1.49,-1.41,-0.55,-0.76,-0.62,-0.49,-1.29,-1.99,0.48,1.07,-0.71,-0.4,-1.25
1989,4,-0.04,0.41,0.81,-0.63,1.04,1.31,0,-0.5,0.23,0.71,-0.21,0.49,0.5
1990,1,1.04,0.76,1.71,-0.14,2.64,1.72,0.13,0.07,0.47,0.16,0.11,0.69,0.78
1990,2,-1.18,-0.89,-0.14,-1.05,0.76,0.04,-0.38,-1.17,-0.54,-0.25,-1,-1.15,-1.1
1990,3,-1.67,-0.88,-0.89,-1.14,-0.88,-0.39,-0.56,-1.58,-0.52,0.19,-0.3,-0.94,-1.04
1990,4,0.79,-0.18,-1.09,-0.64,-0.41,-0.57,-0.4,0.13,-1.14,-0.76,-0.67,-0.87,-0.53
1991,1,-0.29,-0.18,-1.58,0.42,-0.1,-0.74,0.07,0.01,-1.25,-0.13,0.32,-0.48,-0.35
1991,2,-0.98,-1.4,-2.45,-0.34,-0.42,-1.69,-0.91,-1.01,-1.99,-1.34,-0.03,-1.74,-1.7
1991,3,-0.2,-0.93,-1.79,-0.75,0.75,-1.38,-1.38,0.16,-1.02,-1.49,0.36,-1.57,-1.32
1991,4,-1.23,0.65,0.57,-0.05,-0.79,0.65,1.6,0.2,1.27,1.76,0.06,1.09,0.94
1992,1,-1.18,-1.27,-1.28,-1.5,0.7,-0.76,-1.44,-1.4,-1.79,-1.72,-1.37,-2.17,-1.82
1992,2,0.8,0.24,1.92,-2.05,1.96,1.92,-0.24,-0.49,1.85,-0.13,-1.75,0.21,0.25
1992,3,-1.18,2.32,1.54,-0.22,2.23,3.03,2.79,-0.98,1.24,3.96,1.27,3.33,3.07
1992,4,3.6,0.79,0.97,-0.19,0.71,0.78,0.33,1.25,-0.25,-0.08,-0.24,0.92,0.95
1993,1,0.11,0.04,-0.44,1.86,0.88,-0.28,0.49,0.67,-0.97,0.27,0.42,0.16,0.1
1993,2,-1.25,-0.86,0.35,-1.66,0.4,0.31,-0.82,-1.5,1.51,-0.17,-1.52,-0.85,-0.94
1993,3,-1.55,-0.15,-1.33,3.3,0.35,-0.74,2.01,-0.77,-1.55,2.02,1.6,0.78,0.18
1993,4,-1.03,-0.04,0.8,0.28,0.37,1.14,0.13,-0.65,0.38,1.4,0.31,0.75,0.33
1994,1,-1.2,0.86,1.45,-0.81,2.29,2.37,0.49,-0.29,-0.28,-0.31,-0.92,-0.52,0.22
1994,2,-0.2,-1.26,-0.82,-1.71,-0.11,-0.65,-1.23,-1.2,-0.66,-0.77,-1.03,-1.15,-1.34
1994,3,-0.83,-1.36,-1.31,-1.58,-1.33,-0.69,-0.65,-1.79,-0.17,-0.63,-2.23,-1.63,-1.67
1994,4,0.01,-1.57,-1.1,0.05,-0.99,-1.42,-1.24,-0.68,-1.12,-1.15,0.29,-0.9,-1.44
1995,1,-0.7,-1.41,-1.07,-0.71,-0.73,-1.34,-1.06,-0.78,-1.2,-1.41,-1.58,-1.72,-1.67
1995,2,-0.11,-0.68,-1.18,-0.96,-0.71,-0.93,0.12,-0.71,-1.32,1.22,0.53,0.15,-0.37
1995,3,-1.13,-1.18,-2.26,1.05,-1.14,-1.8,-0.26,-0.39,-0.87,0.6,1.13,-0.51,-1.11
1995,4,-1.62,-0.4,0.18,-0.58,-0.68,0.59,0.21,-0.78,-0.01,0.34,-0.85,-0.34,-0.42
1996,1,-0.44,0.74,0.43,0.19,0.11,0.77,1.25,0.82,0.48,0.55,-0.59,0.2,0.52
1996,2,-0.91,0.39,1.11,-0.41,-0.65,1.14,1.34,0.11,1.97,1.28,-0.88,0.52,0.49
1996,3,-0.14,-0.61,-1.38,-0.36,-0.52,-0.85,-0.8,-0.09,-0.57,-0.67,-1.49,-1.23,-0.94
1996,4,2.23,1.06,0.93,0.46,0.03,0.68,1.21,1.59,0.45,0.58,0.47,1.4,1.35
1997,1,-0.76,-0.62,-1.31,-0.42,-1.17,-0.96,0.23,-0.18,-0.94,-0.06,-0.54,-0.79,-0.75
1997,2,-0.77,0.14,0.64,-0.78,0.35,0.98,0.78,-0.48,0.84,1.29,-0.67,0.32,0.23
1997,3,-1.5,-0.8,-0.12,-1.27,0.3,-0.21,-1.05,-1.95,1.05,-0.52,-0.44,-0.7,-0.89
1997,4,-0.77,-0.74,0.32,-0.94,-0.35,-0.1,-0.66,-0.68,0.39,-0.16,-0.65,-0.44,-0.68
1998,1,-1.17,-1.98,-2,-1.22,-1.85,-2.36,-1.52,-1.23,-1.62,-1.71,-1.27,-2.21,-2.24
1998,2,-1.08,-1.96,-1.71,-0.51,-1.33,-1.79,-1.15,-1.45,-0.39,-0.2,0.57,-0.83,-1.65
1998,3,-0.26,-1.89,-1.18,-1.99,-1.79,-1.31,-1.11,-1.88,-1.11,-0.97,-0.68,-1.62,-2.08
1998,4,-1.46,-2.16,-1.84,-1.09,-1.37,-1.94,-1.29,-1.24,-1.48,-1.65,-0.87,-2.19,-2.43
1999,1,0.69,-1.77,-1.19,-0.49,-1.38,-1.45,-1.4,-0.85,-1.09,-1.25,-0.72,-1.01,-1.52
1999,2,-0.29,-1.59,-1.8,0.75,-1.68,-2.28,-1.21,-0.08,-0.97,-0.75,0.36,-0.78,-1.38
1999,3,-0.8,-0.53,-1.58,0.64,-2.04,-1.48,0.37,0.56,-0.83,-0.22,0.78,-0.65,-0.66
1999,4,-0.9,-1.49,-1.47,-0.58,-0.8,-1.27,-0.79,-0.81,-0.63,-0.81,-0.99,-1.33,-1.59
2000,1,-0.3,-2.05,-1.26,-1.44,-1.7,-1.9,-1.72,-1.24,-1.37,-1.87,-1.88,-2.05,-2.2
2000,2,-0.43,-1.21,-1.56,-1.58,-0.94,-1.72,-0.62,-0.75,-1.68,-1.7,-1.65,-2.08,-1.73
2000,3,0.51,-0.3,0.39,-1.27,-1.2,-0.32,0.12,-0.24,-0.17,-0.86,-1.64,-0.76,-0.53
2000,4,-0.65,-0.48,0.18,1.12,-0.68,-0.13,0.32,-0.12,0.69,1.55,1.65,1.35,0.33
2001,1,-1.63,-0.88,-0.62,-0.37,-1.41,-0.62,-0.03,-0.74,0.58,0.19,-0.4,-0.36,-0.68
2001,2,0.05,-1.12,-0.76,-0.63,-0.76,-1.51,-0.87,-0.39,-0.15,-0.69,-1.02,-0.79,-1.08
2001,3,-0.41,-1.29,-0.87,-0.38,-1.63,-1.35,-1.11,-0.75,-0.48,-1.73,-1.46,-1.89,-1.72
2001,4,-0.74,-1.89,-1.38,-0.96,-1.47,-1.64,-1.1,-0.99,-0.07,-0.9,-1.2,-1.33,-1.85
2002,1,-0.64,-1.97,-2.12,-0.75,-1.87,-2.37,-1.42,-1.05,-1.28,-1.25,-0.77,-1.64,-1.95
2002,2,-0.01,2.16,0.71,1.38,-0.47,1.02,3.52,2.64,0.83,1.94,0.08,1.36,2.01
2002,3,0.08,-0.53,-1.01,-0.48,-0.1,-1.12,0.07,0.18,-1.17,-1.19,-1.9,-2.14,-1.23
2002,4,-1.63,-0.27,-0.2,0.34,0.2,0.34,0.71,-0.47,-0.72,0.29,-0.33,-0.5,-0.41
2003,1,-1.59,-1.27,0.48,-1.21,0.27,-0.01,-0.96,-1.31,-0.27,-0.68,-1.38,-1.24,-1.35
2003,2,-0.65,0.07,1.15,-0.72,1.24,1.08,0.3,0.1,-0.7,-0.41,-0.93,-0.75,-0.3
2003,3,-0.34,-1.36,-1.39,-2.01,-1.33,-1.28,-1.32,-1.33,-0.29,-1.07,-1.87,-1.87,-1.77
2003,4,-0.24,-0.79,-0.97,0.3,-1.19,-0.75,0.29,0.01,-0.97,0.05,-0.37,-0.38,-0.69
2004,1,-1.13,-1.24,-0.23,-0.88,-0.27,-0.63,-0.97,-0.96,-1.23,-1.06,-0.92,-1.47,-1.45
2004,2,-0.43,-0.29,-1.41,-2.01,-0.66,-0.68,0.06,-1.14,-1.37,-1.11,-1.83,-1.82,-1.02
2004,3,-2.16,0.12,0.13,-1.57,-1.25,0.54,1.85,-1.95,0.94,3.7,-0.16,1.71,0.75
2004,4,0.07,-0.95,-1.76,-0.58,-0.91,-1.61,-0.59,-0.25,-1.69,-1.31,-0.01,-1.35,-1.25
2005,1,-1.21,-1.16,-0.54,-0.72,-0.48,-0.77,-1.02,-0.9,-1.03,-1.22,-1.16,-1.58,-1.46
2005,2,-0.93,-1.55,-0.24,-1.65,-1,-0.98,-0.68,-1.5,0.5,-0.21,-1.32,-0.98,-1.45
2005,3,-1.51,-1.2,-2.32,-1.25,-1.77,-1.93,0.01,-1.15,-1.44,-1.22,-1.28,-2.93,-2.06
2005,4,-0.68,-1.85,-1.49,-0.71,-1.58,-1.61,-1.16,-1.14,-1.1,-1.33,-1.08,-1.67,-1.98
2006,1,-0.62,-1.69,-1.11,0.37,-1.86,-1.53,-0.86,-0.64,-0.94,-0.23,-0.36,-0.66,-1.29
2006,2,-0.59,-1.86,-1.6,-0.64,-1.71,-2.27,-1.35,-0.48,-1.04,-1.31,-0.75,-1.55,-1.91
2006,3,-0.49,-2.06,-2.07,-1.9,-1.93,-1.95,-1.91,-1.52,-1.42,-2.12,-1.79,-3.13,-2.8
2006,4,-0.57,-0.73,-0.88,0.01,-1.56,-0.93,0.32,0.46,0.19,0.38,0.11,0.14,-0.4
2007,1,-0.54,-1.61,-0.78,-0.11,-1.5,-1.18,-0.96,-0.81,-0.44,-0.12,0.38,-0.3,-1.06
2007,2,0.12,-0.4,0.46,-1.33,0.53,-0.09,-0.53,-0.26,0.02,-0.25,-1.13,-0.51,-0.5
2007,3,-1.85,-1.6,-0.76,-1.57,-1.54,-1.21,-0.96,-1.56,-1.17,-0.83,-1.89,-2.65,-2.26
2007,4,-1.58,-1.74,-1.9,-0.25,-1.34,-1.7,-1.03,-0.94,-1.57,-1.33,-0.69,-1.88,-2.02
2008,1,-0.4,-0.94,-0.97,-0.41,-0.8,-0.78,-0.7,-0.47,-1,-0.76,-0.31,-0.82,-0.95
2008,2,-0.44,-0.59,-1.06,1.33,-0.93,-0.95,0.16,0.19,-0.24,0.35,-0.11,-0.06,-0.41
2008,3,0.93,-1.34,-2.11,-0.05,-2.15,-1.84,-1.01,1.12,-0.74,-0.67,-1.36,-1.28,-1.53
2008,4,0.14,-1.53,-0.42,-0.51,-0.88,-0.94,-0.99,-0.73,0.13,-0.29,-0.65,-0.4,-1.17
2009,1,-0.04,-0.56,-0.61,0.1,-0.81,-0.5,0.11,0.16,-0.55,-0.53,-0.76,-0.58,-0.61
2009,2,-0.53,-0.05,-1.05,0.49,-0.8,-0.84,0.99,0.45,-0.06,0.49,-0.64,-0.37,-0.2
2009,3,-0.53,-0.15,-0.23,-0.87,-0.77,0.09,1.14,-1.23,-0.06,0.93,-0.63,0.37,0.03
2009,4,-0.52,-1.17,-0.87,-0.18,-0.63,-0.85,-0.39,-0.57,-0.65,0.07,-0.2,-0.43,-0.96
2010,1,-1.39,-1.72,-1.37,-0.08,-2.25,-1.88,-0.5,-0.86,0.42,0.43,0.05,-0.33,-1.14
2010,2,-0.97,-2,-2.16,0.58,-1.69,-2.54,-0.83,-0.95,-1.66,-0.76,0.2,-1.31,-1.88
2010,3,-1.01,-2.02,-2.33,-0.13,-2.1,-1.92,-1.35,-1.35,-2.25,-1.45,-0.66,-2.79,-2.63
2010,4,-1.62,-1.69,-1.74,-0.1,-1.6,-1.65,-0.58,-0.73,-1.08,-1,-0.24,-1.46,-1.78
2011,1,-0.83,-1.15,-0.77,-0.01,-1.82,-1.28,-0.27,-0.32,0.3,0.18,0.1,-0.19,-0.75
2011,2,-0.94,-0.59,-1.63,0.8,-0.97,-0.93,-0.13,-0.25,-0.76,-0.01,0.21,-0.52,-0.62
2011,3,-0.59,-1.96,-2.69,-0.41,-1.97,-2.23,-1.21,-0.89,-2.22,-2.65,-1.46,-3.39,-2.82
2011,4,-0.29,-1.92,-1.53,-0.45,-1.51,-1.75,-1.13,-0.76,-0.03,-0.75,-0.37,-0.78,-1.61
2012,1,0.07,-2.25,-2.1,-0.72,-2.29,-2.55,-1.51,-0.87,-1.77,-1.45,-0.99,-1.68,-2.13
2012,2,-0.32,-1.77,-2.57,-0.5,-1.51,-2.2,-1.09,-0.53,-2.43,-1.95,-1.26,-2.22,-2.15
2012,3,-0.31,-2.25,-2.48,-0.76,-2.8,-2.21,-1.9,-0.75,-0.77,-1.92,-1.8,-2.59,-2.72
2012,4,-0.34,-1.03,-1.03,-0.44,-1.47,-1.18,-0.28,0.17,-0.25,-0.14,-0.78,-0.58,-0.94
2013,1,-0.75,-1.9,-1.58,-0.27,-1.59,-1.85,-1.41,-1.06,-1.64,-0.96,0.47,-1.18,-1.68
2013,2,1.76,0.64,-0.44,-0.28,-1.15,0.13,1.17,0.84,2.09,2.48,-0.48,2.22,1.43
2013,3,-1.57,-1.23,-1.18,-1.89,-1.37,-0.67,-0.86,-2.19,0.14,-0.5,-1.47,-1.47,-1.51
2013,4,-0.83,-1.19,-0.24,-0.28,-0.77,-0.59,-0.7,-0.85,-0.5,-0.66,-0.37,-0.81,-1.15
