,,t10 ALA,t10 CAN,t10 CEA,t10 CWP,t10 NEA,t10 NEF,t10 NPL,t10 NWP,t10 SEA,t10 SPL,t10 SWP,t10 USA,t10 USC
1961,1,-1.51,-1.12,1.17,-1.29,0.64,-0.01,-1.52,-1.34,0.14,-1.08,-1.07,-1.21,-1.25
1961,2,0.35,0.91,0.77,-0.96,-0.1,-0.12,0.15,-0.08,0.78,0,-0.7,0.1,0.64
1961,3,0.55,-1.16,-0.28,-2.46,-0.64,-0.45,-1.3,-1.67,1.38,0.56,-1.33,0.01,-0.89
1961,4,0.73,1.02,-1.37,1.31,-1.24,-1.19,0.95,1.23,-0.46,0.91,1.68,0.91,1.09
1962,1,0.95,1.08,-0.53,1.44,0.06,0.28,1.37,0.82,-0.6,0.97,1.52,1.02,1.13
1962,2,0.38,0.35,-0.02,0.52,-0.22,-0.32,0.52,0.74,0.37,-0.14,0.75,0.44,0.43
1962,3,-0.49,-0.29,0.54,1.41,1.04,0.26,-0.27,0.31,-0.79,-0.37,0.94,-0.03,-0.23
1962,4,-0.19,-1.21,0.79,-0.91,-0.69,-0.43,-0.98,-0.85,0.15,-1.14,-1.05,-0.88,-1.2
1963,1,-0.72,-0.11,1.99,-0.03,0.14,1.73,-0.18,-0.63,1.9,0.92,0.42,1.15,0.52
1963,2,0.11,0.06,-0.65,-0.43,-0.02,-0.41,-0.31,-0.01,-1.11,-1.38,-0.36,-0.94,-0.39
1963,3,1.56,-0.76,0.67,0.57,0.41,-0.08,-1.31,-0.27,0.33,-2,0.1,-0.06,-0.61
1963,4,0.49,-0.86,-0.27,-1.36,0.1,-0.65,-1.26,-0.64,-0.73,-2.29,-1.87,-1.97,-1.49
1964,1,-0.75,-0.91,0.33,-0.08,-0.56,-0.35,-0.92,-1.02,0.84,0.27,1.05,0.35,-0.34
1964,2,2.43,1.98,-0.17,1.88,0.11,0.11,0.85,2.15,-0.81,-0.04,1.63,1.56,1.99
1964,3,-0.3,0.99,1.85,1.56,2.08,1.17,0.13,0.55,0.15,-0.14,0.24,0.47,0.94
1964,4,-1.18,-0.21,0.56,0.29,0.13,0.46,-0.09,-0.04,0.59,-0.27,0.27,-0.03,-0.15
1965,1,1.62,1.33,0.26,-0.49,-0.28,0.57,1.04,1.11,-0.08,0.07,-0.2,0.48,1
1965,2,0.37,1,0.44,1.11,0.02,0.89,1.94,1.35,0.02,1.77,1.43,1.6,1.38
1965,3,1.66,0.7,2.33,0.41,0.71,2.22,-0.21,0.46,0.32,-0.84,1.56,1.27,1.03
1965,4,0.82,1.09,0.36,-0.33,1.48,0.84,0.81,0.01,-0.71,-0.17,-0.15,-0.1,0.66
1966,1,0.05,0.51,-0.82,-0.4,-1.15,-0.6,0.86,0.12,-0.35,0.34,0.84,0.12,0.35
1966,2,1.76,1.08,1.04,0.18,-0.33,0.74,0.86,1.24,0.36,0.39,-0.75,1.04,1.17
1966,3,0.49,-0.44,-0.35,0.22,-0.75,-1.05,0.31,0.8,0.88,0.07,-0.79,0.17,-0.28
1966,4,-0.17,0,-0.25,-0.6,-0.83,-0.49,0.23,0.1,-0.03,-0.29,-0.39,-0.37,-0.18
1967,1,-0.35,-0.34,-0.06,-1.3,-0.15,0.16,-0.41,-0.79,-0.39,-0.62,-0.93,-0.8,-0.6
1967,2,-0.32,2.16,3.42,1.41,2.6,2.86,2.55,1.48,0.21,1.05,1.45,1.29,1.98
1967,3,-0.55,-0.01,-1.21,-2.13,-1.96,-0.59,0.42,-1.29,2.41,1.53,-0.03,1.25,0.47
1967,4,-1.1,-0.52,1.46,-1.06,-0.12,0.42,-1.11,-1.28,2,-0.1,-1.13,-0.11,-0.39
1968,1,0.34,-0.1,0.92,-0.29,0.47,0.57,-0.31,-0.31,0.24,-0.3,-0.12,0.02,-0.04
1968,2,-0.4,-0.99,-0.94,-0.31,-0.83,-1.26,-0.64,-0.57,0.29,0.61,-0.08,-0.07,-0.67
1968,3,-0.95,1.29,0.34,0.58,1.91,1,2.36,0.1,0.01,1.45,1.76,1.1,1.42
1968,4,-0.19,-1.48,-1.69,-0.4,-1.47,-1.82,-1,-0.42,0.56,-0.2,-0.22,-0.41,-1.15
1969,1,1.41,0.62,-0.6,1.38,-1.6,-1.27,1.4,2.4,-0.38,-0.33,0.32,0.23,0.47
1969,2,-0.71,0.17,0.12,-0.16,0.75,1.14,0.12,-0.59,1.01,0.89,0.27,0.35,0.27
1969,3,2.42,1.45,-0.56,0.32,-0.37,0.73,1.59,2.07,-0.31,0.44,-0.32,1.07,1.53
1969,4,-0.54,-0.21,-0.03,0.08,0.61,0.41,0.07,-0.41,0.34,0.22,0.22,0.12,-0.08
1970,1,-1.18,-1.03,0.51,-1.23,-0.68,0.11,-0.82,-1.05,0.39,-0.8,-1.26,-0.92,-1.05
1970,2,-0.72,-0.09,-0.88,0.8,-0.62,0.2,0.28,-0.56,-0.7,1.01,0.73,0.12,0
1970,3,0.5,-0.83,-0.87,-0.17,-0.41,-0.69,-1.12,0.44,0.15,-0.3,-0.76,-0.33,-0.76
1970,4,2.37,0.08,-0.9,1.24,-0.65,-0.97,0.48,1.43,-0.38,1.12,1.21,1.34,0.69
1971,1,2.13,0.68,0.33,-0.08,1.43,0.37,-0.03,0.79,-0.46,-0.58,0.25,0.26,0.52
1971,2,1.42,-0.53,0.32,0.85,-1.23,-0.59,-0.81,0.86,1.55,-0.09,0.89,1.3,0.26
1971,3,0.78,-0.32,-0.18,-0.15,-0.2,0.48,0.03,-0.1,-0.42,0.89,-0.73,0.4,-0.09
1971,4,-0.04,-0.7,-1.03,1.52,-0.4,-1.1,-0.14,0.57,-1.08,-0.06,1.92,0.25,-0.33
1972,1,0.64,2.31,-0.43,0.67,1.9,0.57,1.67,2.03,-1.07,-0.06,0.39,0.02,1.32
1972,2,2.26,1.31,1.1,0.13,2.53,1.53,-0.2,2.09,-0.57,-1.04,-0.91,0.4,1.02
1972,3,-0.76,2.27,1.36,-0.84,1.42,2.4,1.29,-0.07,1.22,1.18,-0.48,1.04,2.15
1972,4,0.66,2.13,0.96,0.43,1.74,1.27,1.39,1.3,-0.11,0.5,0.4,0.63,1.67
1973,1,0.68,0.88,-0.45,1.43,1.53,0.59,0.7,0.56,-0.42,0.98,1.55,0.95,0.98
