,,t90 ALA,t90 CAN,t90 CEA,t90 CWP,t90 NEA,t90 NEF,t90 NPL,t90 NWP,t90 SEA,t90 SPL,t90 SWP,t90 USA,t90 USC
1973,1,-0.44,-0.3,0.92,-0.08,-0.75,0.25,0.13,-0.53,0.01,-0.4,-1.17,-0.45,-0.4
1973,2,-0.47,0.39,0.96,-0.24,0.4,0.95,0.21,-0.43,-0.11,-1.16,-1.07,-0.89,-0.17
1973,3,-1.45,1.28,1.42,-0.08,2.11,1.56,-0.09,-1.58,-0.79,-0.6,0.11,-0.53,0.48
1973,4,-0.95,0.37,0.68,-0.04,-0.72,0.79,-0.74,-1.25,1.19,0.26,-0.23,0.44,0.47
1974,1,-0.97,-0.91,1.2,0.01,0.52,-0.15,-0.87,-0.86,1.78,-0.11,-0.7,-0.03,-0.58
1974,2,-0.22,-1.52,0.53,-0.79,-1.01,-0.8,-1.22,-1.4,1.83,1.17,0.41,0.76,-0.68
1974,3,0.33,-0.06,-0.83,0.41,-0.34,0.27,-0.49,-1.1,-1.23,-0.19,0,-0.45,-0.32
1974,4,0.51,-0.79,-0.76,0.4,-1.2,-1.03,-0.04,0.77,-0.89,-1.15,-0.5,-0.89,-0.97
1975,1,-1.16,-0.67,0.28,-0.93,-0.39,0.23,-0.48,-0.72,0.57,-1.23,-1.11,-1.2,-1
1975,2,-0.75,-0.73,-0.72,-1.63,-1.09,-0.86,-1.25,-1.21,-0.24,-1.35,-1.28,-1.67,-1.33
1975,3,-0.61,1.8,0.43,-0.38,1.29,1.28,0.19,-0.27,-0.84,-0.9,-1.36,-0.92,0.56
1975,4,-0.93,0.03,0.55,-0.35,0.07,0.65,0.28,-0.52,0.43,-0.02,-0.94,-0.24,-0.09
1976,1,-0.92,0.08,0.86,-0.02,-0.43,0.03,0.85,0.07,1,1.72,0.33,0.89,0.48
1976,2,-0.64,0.16,1.19,-0.85,0.6,0.22,0.17,-0.57,0.08,-0.55,-0.78,-0.61,-0.19
1976,3,-0.11,-0.07,-0.1,-1.29,1.18,1.17,-0.18,-1.17,-1.11,-0.74,-1.1,-0.93,-0.62
1976,4,1.34,-0.21,-1.24,0.49,-0.92,-1.18,0.16,1.08,-1.77,-1.44,-0.64,-1.18,-0.72
1977,1,1.79,0.82,-1.56,0.05,-1.24,-1.47,0.52,1.51,-1.35,-0.99,-0.3,-0.45,0.29
1977,2,-0.79,2.13,2.46,-0.15,0.56,2.5,2.14,0.32,1.59,0.79,-0.51,1.06,2
1977,3,2.5,-0.71,-0.06,0.96,-0.04,-0.93,-1.1,0.66,1.07,0.3,1.14,1.25,0.33
1977,4,-0.39,0.27,-0.14,-0.5,0.46,0.18,-0.26,-0.87,-0.04,0.58,0.94,0.01,0.19
1978,1,0.41,-0.46,-1.45,0.59,-0.36,-1.43,-1.19,-0.49,-1.3,-1.19,0.88,-0.61,-0.58
1978,2,0.51,-1.02,-1.11,0.43,-1.02,-1.01,-0.3,-0.06,-0.4,0.1,0.33,0.05,-0.68
1978,3,0.13,-1.28,-0.16,-0.18,-0.23,-0.82,-0.93,0.42,0.07,0.37,0.26,0.1,-0.74
1978,4,0.55,-0.93,-0.86,-0.66,-1.36,-0.88,0.01,-0.09,0.2,0.54,0.48,0.54,-0.37
1979,1,-0.49,-1.24,-0.85,-1.77,1.35,-1.1,-1.62,-1.45,-0.86,-2.2,-1.51,-2.25,-1.86
1979,2,0.68,0.19,0.87,-0.02,2.62,0.64,-0.91,0.28,-0.34,-1.46,-0.83,-0.7,-0.21
1979,3,0.73,-0.24,-0.17,0.01,1.06,-0.36,0.07,0.59,-0.77,-1.14,-0.31,-0.78,-0.64
1979,4,3.4,1.24,0.86,0.72,0.51,0.28,0.46,1.95,-0.22,0.27,1.28,1.93,1.78
1980,1,0.24,0.91,-0.09,0.56,-0.05,0.65,0.17,0.37,-0.68,0.47,1.09,0.55,0.83
1980,2,0.6,1.4,-0.69,0.09,-0.2,0.22,1.8,1.09,-1.27,-0.5,-1.05,-0.7,0.62
1980,3,-0.62,-0.5,0.14,-1.66,-0.32,-0.1,-0.88,-0.65,2.69,2.96,1.21,1.92,0.88
1980,4,0.44,0.11,-1.05,0.42,-1.28,-1.76,0.55,1.36,0.65,0.79,1.26,0.76,0.45
1981,1,1.94,3.23,0.83,2.74,2.24,2.26,2.42,2.57,-0.42,2.84,2.96,3.1,3.5
1981,2,2.32,1.2,0.67,0.28,1.03,0.44,0.51,1.68,-0.35,-0.01,0.15,0.91,1.28
1981,3,-0.25,0.3,-0.51,0,-0.23,-0.27,0.54,0.45,1.23,-0.32,2.08,0.39,0.43
1981,4,0.21,1.14,-1.41,0.52,0.2,-0.2,1.49,0.72,-1.18,0.54,0.14,-0.35,0.61
1982,1,-0.36,-1.04,-1.43,-0.05,-0.06,-1.46,-0.91,-0.91,-0.57,-0.24,0.47,-0.64,-0.95
1982,2,-0.65,-1.4,-0.72,-1.21,-0.58,-0.56,-1,-1.51,0.23,-0.72,-0.81,-1.08,-1.5
1982,3,-0.43,-0.75,-1.39,-0.38,-0.81,-1.21,-1.02,0.77,-0.89,-0.97,-1,-1.33,-1.3
1982,4,-0.58,-0.54,0.67,-1.07,0.54,0.46,-0.57,-0.57,-0.01,-0.56,-0.77,-0.82,-0.77
1983,1,-0.16,0.24,2,0.6,1.23,2.48,0.42,0.09,0.46,0.18,-0.35,0.59,0.43
1983,2,0.65,-0.23,0.04,0.44,1.72,-0.02,-0.43,1.28,-1.01,-1.28,-0.58,-0.71,-0.51
1983,3,0.47,1.18,1.39,-0.76,0.14,1.87,1.16,-0.17,1.24,0.93,-0.46,1.19,1.48
1983,4,-0.29,0.74,0.62,-0.33,0.49,0.64,0.27,-0.82,-0.27,0.76,1.63,0.72,0.86
1984,1,-0.13,0.84,1.19,-0.38,1.62,1.4,1.16,0.51,-0.55,-0.42,-0.38,-0.33,0.36
1984,2,0.87,0.51,-1.49,-0.43,-0.08,-0.62,0.53,0.82,-1.24,-0.8,0.56,-0.59,0.07
1984,3,-0.2,1.05,0.54,-0.77,1.1,0.57,1.29,-0.83,-0.56,-0.26,-0.5,-0.45,0.38
1984,4,-0.31,-0.75,0.18,-1.17,-0.23,0.22,-0.56,-1.17,0.85,-0.5,-0.67,-0.3,-0.66
1985,1,1.3,-0.15,0.76,-1.83,-0.08,0.19,-0.49,-0.05,1.25,-0.69,-0.9,0.13,-0.03
1985,2,-0.97,0.11,0.82,0.53,-0.67,0.08,0.47,-0.4,0.18,0.87,0.36,0.45,0.29
1985,3,-0.69,-0.6,-1.46,0.88,-0.35,-1.03,-1.03,-0.5,-0.14,-0.13,1.84,-0.15,-0.47
1985,4,-0.83,-0.98,0.57,-1.62,-0.11,-0.04,-1.7,-1.68,2.64,-0.44,-1.41,-0.29,-0.81
1986,1,1.94,1,-0.54,0.66,-0.54,-0.78,1.08,1.28,0.32,1.25,2.15,1.85,1.52
1986,2,-1.15,1.03,1.37,1.86,1.47,1.62,1.6,0.17,0.71,1.13,1.56,1.23,1.32
1986,3,0.01,-1.33,-0.78,0.93,-1.45,-1.25,-0.73,-0.09,1.05,-0.31,-0.24,0.04,-0.81
1986,4,0.81,-1.11,-0.57,-0.6,-1.82,-1.36,-0.5,0.82,1.75,-0.48,-1.32,0.11,-0.7
1987,1,1.03,1.57,-0.9,-0.54,-1.37,1.11,2.09,0.93,-0.85,0.61,-0.21,0.34,1.13
1987,2,-0.05,1.51,1.53,2.71,1.81,2.46,1.91,0.97,0.04,1.68,1.22,1.92,1.99
1987,3,0.32,0.18,1.44,0.29,-0.17,0.83,0.5,0.36,1.51,0.16,-0.63,0.91,0.68
1987,4,0.09,1.44,-0.59,1.48,0.14,-0.11,1.39,1.87,-0.79,-0.46,0.2,-0.33,0.82
1988,1,-0.32,0.59,-0.07,-0.1,-0.31,0.05,0.52,0.03,-0.55,-0.68,-0.49,-0.7,0.03
1988,2,1.11,1.47,-0.13,1.01,0.53,0.66,1.29,1.4,-0.84,0.65,0.57,0.84,1.43
1988,3,0.6,1.79,3.57,0.97,0.43,2.51,1.83,-0.45,1.52,2.33,1.23,2.92,2.94
1988,4,-1.26,0.25,-1.13,1.49,-0.59,-0.78,0.05,0.22,-0.69,-0.18,1,-0.73,-0.19
1989,1,0.21,-0.18,0.38,-1.01,-1.2,-0.35,0.13,-0.28,0.72,0.16,-0.54,0.15,-0.04
1989,2,0.25,-0.25,-0.5,0.95,0.47,-0.49,-0.22,0.86,0.38,1.57,3.14,1.74,0.68
1989,3,1.21,1.96,0.08,-0.5,0.48,0.29,1.34,1.99,-0.22,-0.28,-0.03,-0.04,1.21
1989,4,0.27,-0.07,0.39,0.34,0.61,0.24,-0.09,0.43,0.02,0.99,0.6,0.78,0.34
1990,1,-0.39,0.05,1.79,0.17,-0.24,0.97,0.6,0.41,1.52,1.07,-0.26,0.93,0.48
1990,2,2.37,1.56,1.07,1.23,0.11,0.86,0.86,2.19,0.37,0.35,0.64,1.63,1.88
1990,3,2.49,0.63,-0.43,1.07,1.13,0.1,0.37,2.38,0.67,1,1.65,1.39,1.26
1990,4,-1.14,-0.68,0.72,1.41,0.26,-0.06,0.09,-0.41,1.05,2,1.6,1.7,0.36
1991,1,0.09,0.47,1.76,0.3,0.32,1.12,0.98,0.48,0.84,0.16,-0.21,0.5,0.53
1991,2,0.03,0.77,2.42,-1.08,0.07,1.28,0.57,0.04,3.02,0.93,-0.88,1.17,1.1
1991,3,0.29,1.65,1.11,-0.18,0.17,1.29,1.32,0.33,0.31,-0.42,-0.94,0.03,1.06
1991,4,0.33,-0.88,0.78,0.76,0.3,-0.21,-0.62,0.01,0.86,-0.19,1.64,1.04,-0.09
1992,1,-1.05,1.06,0.51,1.01,-0.74,0.95,1.98,1.35,0.12,1.18,-0.34,0.41,0.86
1992,2,-0.07,0.64,-0.3,3.24,-0.54,-0.36,1.35,2.29,-0.66,0.84,1.46,1.09,0.98
1992,3,-0.19,-1.09,-1.48,1.45,-1.26,-1.7,-0.89,1.21,-0.77,-1.64,-0.31,-1.19,-1.42
1992,4,-0.62,-0.94,-0.63,-0.08,-0.09,-0.92,-0.29,-0.37,-0.97,-0.78,-0.05,-1.32,-1.28
1993,1,0.63,-0.33,-0.23,-1.6,-1.01,-0.6,-0.48,-0.33,-0.43,-1.55,-0.89,-0.99,-0.68
1993,2,2,1.31,-0.43,0.85,0.3,-0.11,0.89,2.57,-1.9,-1.37,-0.05,-0.32,0.74
1993,3,2.39,-0.01,0.72,-1.61,-0.49,0.21,-1.41,0.16,1.29,-1.02,-0.96,0.06,0.03
1993,4,1.46,-1.3,-0.71,-0.73,-0.86,-1.82,-1.49,0.87,-0.19,-1.8,-1.44,-1.25,-1.5
1994,1,-0.01,-0.81,-0.76,0.16,-0.04,-0.76,-0.58,0.16,-0.48,-0.52,-0.41,-0.58,-0.78
1994,2,1.15,0.74,-0.87,1.94,-0.57,-0.87,0.75,2.39,-0.15,0.63,0.98,0.99,1
1994,3,1.88,1.13,0.62,0.39,0.33,-0.71,-0.28,2.07,-0.46,0.09,2.42,0.8,1.21
1994,4,-1.15,0.91,0.05,-0.52,1.18,1.51,0.25,-0.92,-0.71,-0.37,-1.18,-1.23,0.02
1995,1,-0.43,0.87,1.16,1.88,-0.17,1.13,0.74,0.3,-0.02,1.39,1.54,1.18,1.11
1995,2,2.18,0.87,-0.64,-0.2,-0.46,-0.3,-0.05,1.89,0.8,-0.25,-0.45,0.48,0.84
1995,3,-0.39,1.25,2,-0.75,1.07,2.22,0.11,0.3,1.19,0.26,0.7,0.94,1.37
1995,4,1.37,0.08,-0.68,2.15,0.35,-0.71,-0.38,1.3,-0.8,-0.1,2.3,0.76,0.42
1996,1,-0.48,-0.09,0.11,1.48,1.75,0.13,-0.07,0.13,0.43,2.09,2.46,1.62,0.73
1996,2,1.01,-0.79,-0.78,0.27,-0.22,-1.24,-0.93,0.14,-0.08,0.5,1.62,0.79,-0.16
1996,3,-0.44,0.56,-0.98,0.87,0.51,-0.04,0.25,-0.36,-0.48,-0.02,2.16,0.05,0.38
1996,4,-0.98,-0.69,-1.15,-0.39,-0.16,-0.58,-1.21,-1.42,-1.11,-1.58,-0.2,-2.11,-1.5
1997,1,-0.1,-0.26,1.49,-0.07,1.44,0.77,-0.85,-0.62,0.98,0.46,0.62,0.67,0.16
1997,2,0.94,-0.65,-1.51,0.82,-1.38,-1.41,-0.87,0.26,-0.84,-1.2,1.51,-0.03,-0.46
1997,3,2.62,0.81,-0.44,-0.61,-0.54,-0.16,0.29,0.93,-0.17,-0.73,-0.32,-0.13,0.43
1997,4,0.86,0.64,-1.03,0.37,0.01,-0.15,0.83,0.67,-0.55,0.44,0.74,0.41,0.64
1998,1,-0.72,1.8,1.56,0.22,1.26,2.78,1.79,1.09,0.15,0.24,-0.36,0.3,1.26
1998,2,2.17,2.49,1.8,0.44,1.93,1.9,0.83,2.86,0.9,0.18,-0.47,1.15,2.29
1998,3,-0.18,3.05,-0.13,0.96,0.77,0.66,1.3,2.17,2.48,2.4,1.22,1.7,2.98
1998,4,-0.15,3.05,0.23,1.22,-0.52,0.8,1.33,0.19,1.69,3.04,1.46,2.7,3.39
1999,1,-1.09,0.88,2.28,0.22,1.24,2.62,0.38,-0.51,2.3,2.23,1.04,1.9,1.47
1999,2,-0.33,1.26,0.06,-0.66,2.34,1.27,0.19,-0.39,-0.44,-0.88,-0.62,-0.91,0.43
1999,3,1.3,0.91,2.3,-0.28,2.22,1.58,-0.15,0.45,1.79,0.32,-0.47,1.08,1.24
1999,4,-1.05,0.97,1.29,1.38,2.31,1.44,0.59,-0.22,0.23,1,1.92,1.15,1.22
2000,1,-0.18,1.33,1.64,-0.26,1.44,2.46,1.14,-0.01,0.75,2.24,1.46,1.78,1.69
2000,2,-0.52,0.76,1.26,0.2,0.66,1.17,0.44,-0.49,0.83,1.29,1.84,1.37,1.2
2000,3,-0.82,-0.07,-1.07,-0.17,0.36,-0.83,-0.61,-0.69,0.9,1.04,1.96,0.59,0.33
2000,4,-0.13,-0.43,-0.59,-0.73,0.29,0.27,-0.48,-0.48,0.22,1.23,0.26,0.48,-0.06
2001,1,0.94,-0.22,-0.99,-1.38,-1.15,-1.33,-0.24,0.22,-0.56,-1.6,-0.66,-1.01,-0.62
2001,2,-0.66,0.54,0.08,0.82,0.69,0.75,0.03,-0.49,0.32,-0.04,1.55,0.48,0.61
2001,3,0.33,1.32,0.88,0.21,1.73,1.59,0.54,-0.51,-0.23,1.32,1.75,1.03,1.47
2001,4,-0.71,1.73,1.07,0.81,2.24,1.57,1.25,-0.34,-0.32,0.93,2.02,1,1.66
2002,1,0.12,1.5,2.83,-0.68,0.97,3.43,0.86,0.05,1.03,0.46,-0.52,0.99,1.41
2002,2,0.42,-1.32,0.85,-0.72,-0.41,-0.62,-1.34,-0.97,1.7,-0.06,0.55,0.5,-0.67
2002,3,-0.15,1.28,2.47,0.97,0.64,1.41,1.55,0.43,0.83,0.93,2.92,1.7,1.87
2002,4,4.35,1.64,0.41,0.1,0.47,0.33,-0.06,1.92,0.78,-1.02,-0.13,1.54,1.86
2003,1,1.89,1.25,-1.17,1.41,-1.11,-0.19,0.77,1.29,-1.27,0.33,0.96,0.82,1.17
2003,2,0.73,0.48,-0.47,0.48,0.02,-0.01,0.49,0.35,0.35,0.87,0.82,0.9,0.78
2003,3,1.11,1.39,0.17,2.2,1.11,0.68,1.58,0.91,-0.34,1.22,3.61,1.51,1.82
2003,4,2.17,2.49,0.14,1.89,3.39,1.61,0.73,1.07,0.2,0.59,2.87,2.26,2.8
2004,1,-0.7,-0.23,-0.49,-1.1,0.13,0.17,-0.33,-0.13,-0.99,-0.45,-0.51,-1,-0.62
2004,2,1.9,-0.15,1.27,1.76,-0.27,-0.31,0.02,1.93,0.97,0.89,2.51,2.46,1.1
2004,3,6.41,0.09,-0.84,1.13,0.59,-1.25,-0.65,4.62,-0.27,-1.16,-0.13,0.5,0.37
2004,4,0.43,0.08,-0.55,-0.7,0.39,0.82,-0.01,-0.45,0.51,0.18,-0.73,0.07,0.09
2005,1,0.21,0.53,1.05,0.71,0.2,0.54,0.92,1.13,1.02,1.61,1.04,1.54,1.07
2005,2,2.51,1.93,-1.3,1.02,0.68,0.34,1.07,3.65,-1.64,-0.45,0.06,0.41,1.54
2005,3,2.16,0.9,3.06,-0.26,1.34,2.6,-0.44,0.11,1.56,0.01,0.67,1.43,1.45
