,,ALA,CAN,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,USA,USC
1973,2,-0.04,0.37,0.38,-0.22,-0.11,0.94,0.29,-0.34,0.03,-0.27,0.4,0.51,0.7
1973,3,-0.7,0.87,0.86,-0.58,1.02,1.17,0.45,-1.12,-0.25,-0.35,-0.14,-0.1,0.55
1973,4,-0.62,0.14,0.37,0.31,-0.72,0.43,0.01,-0.98,0.45,0.34,-0.01,0.56,0.5
1974,1,-0.65,0.41,0.8,0.43,0.24,0.29,0.48,0.21,0.67,-0.65,-0.17,0.03,0.11
1974,2,-0.3,-0.32,-0.08,0.34,-0.83,-0.4,0.05,-0.36,0.52,0.21,0.51,0.42,-0.18
1974,3,-0.1,-0.19,-0.44,0.25,-0.64,0.13,0.03,-0.81,-0.37,-0.32,0.19,-0.09,-0.13
1974,4,0.56,-0.81,-1.09,0.5,-0.73,-1.23,-0.16,0.39,-0.7,0.33,0.57,0.26,-0.05
1975,1,-0.32,-0.24,0.16,0.31,-0.68,0.06,0.24,-0.23,0.51,0.49,0.09,0.45,0.26
1975,2,-0.23,-0.14,-0.65,-0.71,0.03,-0.47,-0.03,-0.9,0.15,-0.36,-0.54,-0.32,-0.1
1975,3,-0.39,0.65,0.31,-0.13,0.3,0.51,0.3,-0.39,-0.19,0.07,-0.76,-0.12,0.54
1975,4,-0.98,-0.13,0.66,-0.28,0.31,0.06,0.21,-0.23,-0.2,-0.55,-0.7,-0.68,-0.49
1976,1,-0.75,0.18,0.41,0.05,0.25,0.4,0.47,-0.01,-0.22,0.17,-0.08,-0.23,-0.28
1976,2,-0.28,0.24,0.17,-0.9,0.56,0.55,-0.17,-0.34,-0.22,-0.08,-0.45,-0.39,-0.17
1976,3,-0.48,0.09,-0.13,-0.87,0.3,-0.08,0.41,-0.52,-1.08,-0.64,-1.12,-1.3,-0.87
1976,4,0.61,-0.89,-1.02,-0.52,0.01,-1.46,-0.27,-0.15,-1.52,-1.03,-0.63,-1.41,-1.21
1977,1,1.08,0.35,-0.92,-0.66,-0.19,-0.73,0.54,0.34,-1.29,-0.3,-0.52,-0.88,-0.56
1977,2,-0.02,1,1.1,-0.45,0.11,0.8,1.5,0.08,0.79,1.27,-0.59,0.61,0.93
1977,3,0.49,-0.33,-0.21,0.58,-0.21,-0.44,-0.37,-0.08,0.18,0.29,0.68,0.59,-0.04
1977,4,-0.04,0.17,0.49,0.06,0.06,0.13,0.05,-0.5,0.29,0.26,0.1,0.25,0.24
1978,1,-0.16,-0.5,-0.3,0.55,-0.08,-0.71,-0.43,-0.69,-1.22,-0.78,0.72,-0.42,-0.46
1978,2,-0.1,-0.48,-0.49,0.43,-0.68,-0.57,0.2,-0.16,-0.42,-0.21,0.79,0.09,-0.21
1978,3,-0.25,-1.01,-0.01,0.13,-0.44,-0.58,-0.53,0.11,0.43,0.16,-0.27,0.15,-0.77
1978,4,0.28,-0.3,-0.6,-0.67,-1.32,-0.52,0.39,0.36,0.22,0.15,0.33,0.16,-0.3
1979,1,-0.39,-0.91,0.27,-1.18,0.34,-0.5,-1.08,-0.93,0.29,-1.25,-0.77,-0.83,-0.82
1979,2,0.69,0.87,0.88,0.22,1.61,1.04,-0.35,0.7,0.49,-0.33,0.16,0.38,0.61
1979,3,0.7,-0.09,-0.6,0.07,0.55,-0.07,-0.13,0.81,-0.43,-0.01,-0.32,-0.04,0.01
1979,4,2.05,0.89,0.37,0.28,0.59,0.37,0.25,1.34,0.33,0.03,0.02,0.84,0.95
1980,1,0.76,0.81,-0.55,0.27,0.23,0.21,0.27,0.88,-0.95,0.26,1.09,0.41,0.64
1980,2,0.63,1,0.1,0.24,0.24,0.25,0.62,1.07,-0.14,-0.07,-0.3,0.12,0.68
1980,3,0.24,0.76,0.13,-0.75,0.41,0.14,0.58,0.16,0.36,0.74,-0.09,0.41,0.24
1980,4,0.19,0.77,-0.08,0.16,-0.19,-0.45,1.19,0.61,0.23,0.5,-0.06,0.19,0.36
1981,1,0.47,1.7,0.2,0.99,0.49,0.79,1.72,0.66,-0.65,0.87,0.99,0.61,0.97
1981,2,0.69,1.22,0.45,0.53,0.64,0.48,0.86,0.85,-0.2,0.73,0.58,0.76,0.98
1981,3,-0.06,0.75,0.22,0.08,0.22,0.28,0.66,0.38,0.64,0.7,0.98,0.92,1.15
